timeStamp,elapsed,threadName,success,bytes,Latency,IdleTime,Connect
1474979734735,954,request threads 1-11,true,400511,953,0,0
1474979733962,1782,request threads 1-2,true,400511,1782,0,1
1474979733940,1890,request threads 1-13,true,400507,1890,0,0
1474979734095,1786,request threads 1-17,true,400509,1786,0,0
1474979734107,1791,request threads 1-6,true,400505,1791,0,0
1474979735101,920,request threads 1-19,true,400505,920,0,0
1474979734248,1854,request threads 1-18,true,400511,1853,0,0
1474979734853,1554,request threads 1-15,true,400505,1554,0,0
1474979735140,1284,request threads 1-10,true,400509,1284,0,0
1474979735495,1028,request threads 1-8,true,400505,1027,0,1
1474979734693,1870,request threads 1-5,true,400509,1869,0,0
1474979734735,1828,request threads 1-9,true,400505,1821,0,0
1474979734783,1825,request threads 1-20,true,400509,1824,0,1
1474979734909,1717,request threads 1-12,true,400509,1716,0,0
1474979735513,1157,request threads 1-4,true,400505,1156,0,1
1474979735023,1689,request threads 1-3,true,400505,1689,0,0
1474979735689,1161,request threads 1-11,true,400509,1161,0,0
1474979735495,1408,request threads 1-1,true,400511,1407,0,0
1474979736021,966,request threads 1-19,true,400505,966,0,0
1474979735233,1813,request threads 1-7,true,400507,1813,0,0
1474979735671,1517,request threads 1-14,true,400509,1517,0,0
1474979735898,1306,request threads 1-6,true,400507,1306,0,0
1474979735320,2012,request threads 1-16,true,400505,2012,0,0
1474979735830,1738,request threads 1-13,true,400509,1738,0,1
1474979735744,1824,request threads 1-2,true,400509,1819,0,0
1474979735881,1706,request threads 1-17,true,400509,1705,0,0
1474979736102,1919,request threads 1-18,true,400507,1919,0,0
1474979736407,1674,request threads 1-15,true,400509,1673,0,0
1474979736670,1411,request threads 1-4,true,400509,1405,0,0
1474979736626,1637,request threads 1-12,true,400513,1636,0,0
1474979736712,1634,request threads 1-3,true,400511,1634,0,1
1474979736425,1949,request threads 1-10,true,400507,1949,0,0
1474979736523,1922,request threads 1-8,true,400511,1922,0,0
1474979736563,1949,request threads 1-9,true,400513,1946,0,0
